"material";"cost";"date_import";"created_at";"updated_at"
"BUFBK10001M1CUD001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10001M1CUD002";"155.89";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10001M1CUD003";"155.89";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10001S7CUD001";"20.87";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10001S7CUD002";"14.36";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10004S1CUG001";"23.33";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10004S7CBX001";"61.24";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10008S1CUG001";"40.05";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10008S1CUG002";"40.32";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S1AUG001";"53.99";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S1AUG018";"62.13";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S1AUG027";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S1CUG001";"56.95";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S1CUG002";"55.56";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S1XUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S5AUG001";"113.69";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S5AUG007";"54.22";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S5AUG014";"52.95";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S6AUG004";"70.7";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S6CUG001";"58.51";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S9AUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S9AUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
